id,category,category_url,title,price,stock,rating,url
724eb1a,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Most Perfect Thing: Inside (and Outside) a Bird's Egg",42.96,"
    
    
        In stock (16 available)
    
",4.00,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
72d3eb9,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine",57.36,"
    
    
        In stock (16 available)
    
",5.00,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
7364d8c,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Sorting the Beef from the Bull: The Science of Food Fraud Forensics",44.74,"
    
    
        In stock (14 available)
    
",4.00,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
73e9cf0,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Tipping Point for Planet Earth: How Close Are We to the Edge?",37.55,"
    
    
        In stock (12 available)
    
",1.00,https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html
7438a29,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,"
    
    
        In stock (9 available)
    
",1.00,https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html
747ba64,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World",28.41,"
    
    
        In stock (8 available)
    
",1.00,https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html
74beaea,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Origin of Species",10.01,"
    
    
        In stock (7 available)
    
",4.00,https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html
750db80,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Grand Design",13.76,"
    
    
        In stock (5 available)
    
",3.00,https://books.toscrape.com/catalogue/the-grand-design_405/index.html
75509c5,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Peak: Secrets from the New Science of Expertise",16.28,"
    
    
        In stock (5 available)
    
",2.00,https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html
7593ac5,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,"
    
    
        In stock (3 available)
    
",4.00,https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html
75d6bcc,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,"
    
    
        In stock (3 available)
    
",5.00,https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html
7625b05,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,"
    
    
        In stock (3 available)
    
",2.00,https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html
778a715,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"Seven Brief Lessons on Physics",30.6,"
    
    
        In stock (3 available)
    
",4.00,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html
781ee70,science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,"The Selfish Gene",29.45,"
    
    
        In stock (1 available)
    
",1.00,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html
